地块名称,地块类型,地块面积/亩
A1,平旱地,80
A2,平旱地,55
A3,平旱地,35
A4,平旱地,72
A5,平旱地,68
A6,平旱地,55
B1,梯田,60
B2,梯田,46
B3,梯田,40
B4,梯田,28
B5,梯田,25
B6,梯田,86
B7,梯田,55
B8,梯田,44
B9,梯田,50
B10,梯田,25
B11,梯田,60
B12,梯田,45
B13,梯田,35
B14,梯田,20
C1,山坡地,15
C2,山坡地,13
C3,山坡地,15
C4,山坡地,18
C5,山坡地,27
C6,山坡地,20
D1,水浇地,15
D2,水浇地,10
D3,水浇地,14
D4,水浇地,6
D5,水浇地,10
D6,水浇地,12
D7,水浇地,22
D8,水浇地,20
E1,普通大棚 ,0.6
E2,普通大棚 ,0.6
E3,普通大棚 ,0.6
E4,普通大棚 ,0.6
E5,普通大棚 ,0.6
E6,普通大棚 ,0.6
E7,普通大棚 ,0.6
E8,普通大棚 ,0.6
E9,普通大棚 ,0.6
E10,普通大棚 ,0.6
E11,普通大棚 ,0.6
E12,普通大棚 ,0.6
E13,普通大棚 ,0.6
E14,普通大棚 ,0.6
E15,普通大棚 ,0.6
E16,普通大棚 ,0.6
F1,智慧大棚,0.6
F2,智慧大棚,0.6
F3,智慧大棚,0.6
F4,智慧大棚,0.6
